id,attore1,attore2,attore3,regista,sceneggiatore
862,Tom Hanks,Tim Allen,Don Rickles,John Lasseter,Joss Whedon
8844,Robin Williams,Jonathan Hyde,Kirsten Dunst,Joe Johnston,Jonathan Hensleigh
15602,Walter Matthau,Jack Lemmon,Ann-Margret,Howard Deutch,Jonathan Hensleigh
31357,Whitney Houston,Angela Bassett,Loretta Devine,Forest Whitaker,Ronald Bass
11862,Steve Martin,Diane Keaton,Martin Short,Charles Shyer,Nancy Meyers
949,Al Pacino,Robert De Niro,Val Kilmer,Michael Mann,Michael Mann
11860,Harrison Ford,Julia Ormond,Greg Kinnear,Sydney Pollack,Barbara Benedek
45325,Jonathan Taylor Thomas,Brad Renfro,Rachael Leigh Cook,Peter Hewitt,David Loughery
9091,Jean-Claude Van Damme,Powers Boothe,Dorian Harewood,Peter Hyams,Karen Elise Baldwin
710,Pierce Brosnan,Sean Bean,Izabella Scorupco,Martin Campbell,Jeffrey Caine
9087,Michael Douglas,Annette Bening,Michael J. Fox,Rob Reiner,Aaron Sorkin
12110,Leslie Nielsen,Mel Brooks,Amy Yasbeck,Mel Brooks,Mel Brooks
21032,Kevin Bacon,Bob Hoskins,Bridget Fonda,Simon Wells,Mel Brooks
10858,Anthony Hopkins,Joan Allen,Powers Boothe,Oliver Stone,Oliver Stone
1408,Geena Davis,Matthew Modine,Frank Langella,Renny Harlin,Marc Norman
524,Robert De Niro,Sharon Stone,Joe Pesci,Martin Scorsese,Martin Scorsese
4584,Kate Winslet,Emma Thompson,Hugh Grant,Ang Lee,Emma Thompson
5,Tim Roth,Antonio Banderas,Jennifer Beals,Allison Anders,Emma Thompson
9273,Jim Carrey,Ian McNeice,Simon Callow,Steve Oedekerk,Steve Oedekerk
11517,Wesley Snipes,Woody Harrelson,Jennifer Lopez,Joseph Ruben,Doug Richardson
8012,John Travolta,Gene Hackman,Rene Russo,Barry Sonnenfeld,Scott Frank
1710,Sigourney Weaver,Holly Hunter,Will Patton,Jon Amiel,David Madsen
9691,Sylvester Stallone,Antonio Banderas,Julianne Moore,Richard Donner,Lilly Wachowski
12665,Mary Steenburgen,Sean Patrick Flanery,Lance Henriksen,Victor Salva,Victor Salva
